Date,Permit Number,Permit Type,Usage,Description,Address,Status
2014-12-01,14002227,Full Review,Solar Array,"NEW 5.46kW ROOF MOUNT SOLAR PV ON HOME, 21 MODULES 260W, 1 INVERTER 5000W. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.","13887 HEMLOCK DR, PENN VALLEY CA 95946",CLOSED
2014-11-25,14002209,Full Review,Solar Array,ROOF MOUNT SOLAR ARRAY.  27 ROOF MOUNT MODULES WITH MICRO INVERTERS. 7.425KW. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED. SNOW LOAD 29 PSF,"10805 WILLOWBROOK LN, PENN VALLEY CA 95946",CLOSED
2014-11-25,14002214,Full Review,Solar Array,"NEW 16kW ROOF MOUNT SOLAR PV SYSTEM ON HOME, 56 MODULES 275W, 3 INVERTER 7000W,5000W 2500W. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.","20816 OXBOW WAY, GRASS VALLEY CA 95949",CLOSED
2014-11-25,14002215,Full Review,Solar Array,ROOF MOUNTED SOLAR ARRAY. 30 MODULES WITH MICROINVERTERS. REVISED TO ADD 4 MODULES. TOTAL 34 MODULES. 5/29/2015 REVISION: CHANGEOUT 100amp PANEL TO 200amp. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"12020 WAXWING CT, PENN VALLEY CA 95946",CLOSED
2014-11-24,14002199,Full Review,Solar Array,"NEW GROUND MOUNT SOLAR PV SYSTEM, 28 MODULES 280W. 1 SOLAREDGE INVERTER 10,000W. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.","15009 APPLEWOOD LN, NEVADA CITY CA 95959",CLOSED
2014-11-24,14002204,Full Review,Solar Array,ROOF MOUNTED SOLAR ARRAY. 15 MODULES WITH 1 INVERTER 3.68KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"13727 GOPHER HILL CT, GRASS VALLEY CA 95945",CLOSED
2014-11-24,14002205,Full Review,Solar Array,ROOF MOUNT SOLAR ARRAY ON EXISTING HANGER BUILDING. 32 MODULES WITH 1 INVERTER. 7.8 KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"18915 CHEROKEE RD, GRASS VALLEY CA 95949",CLOSED
2014-11-21,14002178,Full Review,Solar Array,GROUND MOUNT SOLAR ARRAY LOCATED EAST OF THE HOUSE AND POOL. 20 MODULES WITH 1 INVERTER. 5 KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"13853 BEITLER RD, PENN VALLEY CA 95946",CLOSED
2014-11-21,14002180,Full Review,Solar Array,GROUND MOUNT SOLAR ARRAY LOCATED ON THE WEST SIDE OF THE RESIDENCE. 30 MODULES WITH 1 INVERTER. 7.6 KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"20544 JOHNSTON DR, GRASS VALLEY CA 95945",CLOSED
2014-11-21,14002183,Full Review,Solar Array,ROOF MOUNT SOLAR ARRAY 21 MODULES WITH 1 INVERTER. 5.46 KW. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"11679 HILLTOP DR, GRASS VALLEY CA 95949",CLOSED
2014-11-21,14002184,Full Review,Solar Array,11/3/15 VOIDED PER CONTRACTOR. SM ROOF MOUNTED SOLAR ARRAY ON EXISTING DETACHED GARAGE. 30 MODULES WITH 1 INVERTER. 7.65 KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"10437 HARMONY LN, ROUGH & READY CA 95975",VOID
2014-11-21,14002185,Full Review,Solar Array,VOIDED. DUPLICATE PERMIT SEE 15000179. SM ROOF MOUNTED SOLAR ARRAY. 27 MODULES WITH 2 INVERTERS. 7.02 KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"19514 HEATHER DEE CT, GRASS VALLEY CA 95945",VOID
2014-11-21,14002192,Full Review,Solar Array,"5/19/17 Voided by Contractor. SMNEW 5.61kW ROOF MOUNT SOLAR PV SYSTEM ON HOME. 22 TRINA SOLAR MODULES 255W, 1 FIC INVERTER 5000W. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.","23498 ROLLING HILLS CT, AUBURN CA 95602",Void
2014-11-20,14002169,Full Review,Solar Array,"NEW 8.82kW GROUND MOUNT SOLAR PV SYSTEM LOCATED SOUTHEAST OF PROPERTY. 28 MODULE 315W, 1 SOLAREDGE SE7600 WATT INVERTER. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.","11758 DEERLICK RD, ROUGH & READY CA 95975",CLOSED
2014-11-20,14002171,Full Review,Solar Array,"NEW 4.48kW ROOF MOUNT SOLAR PV SYSTEM ON HOME. 16 MODULES 280W, 16 MICRO-INVERTERS M250. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.","13793 ADAIR AVE, GRASS VALLEY CA 95949",CLOSED
2014-11-19,14002163,Full Review,Solar Array,ROOF MOUNT SOLAR ARRAY. 30 MODULES WITH 2 INVERTERS. 9.81 KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"13643 WILDWOOD HEIGHTS DR, PENN VALLEY CA 95946",CLOSED
2014-11-18,14002151,Full Review,Solar Array,NEW 9.52kW ROOF MOUNT SOLAR PV SYSTEM ON HOME & ATTACHED GARAGE. 34 MODULES 280W. 1 INVERTER 7600W. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"12228 S LAKESHORE, AUBURN CA 95602",CLOSED
2014-11-18,14002152,Full Review,Solar Array,"NEW 5.1kW ROOF MOUNT SOLAR PV SYSTEM ON ATTACHED GARAGE. 20 MODULES 255W, 20 MICRO-INVERTERS 240W. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.","15307 WOLF RIDGE CT, GRASS VALLEY CA 95949",Finaled
2014-11-18,14002157,Full Review,Solar Array,NEW 6.63kW SOLAR PV SYSTEM  MOUNT ON METAL ROOF OF EXISTING GARAGE. 26 MODULES 255W. 1 SMA SB6000W INVERTER. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"15081 BLACK BEAR LN, ROUGH & READY CA 95975",CLOSED
2014-11-17,14002132,Full Review,Solar Array,"NEW 25.2kW GROUND MOUNT SOLAR PV SYSTEM. 80 SOLARWORLD MODULES AND 3 SMA INVERTERS SB8000W,SB1100TL-US,SB7000-US. PERMIT IS GOOD FOR TWO INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.","22466 DOVE SPRINGS DR, GRASS VALLEY CA 95949",CLOSED
2014-11-17,14002139,Full Review,Solar Array,ROOF MOUNT SOLAR ARRAY ON DETACHED GARAGE. 48 MODULES WITH 1 INVERTER. 12.24 KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"17955 OPUS RD, GRASS VALLEY CA 95949",CLOSED
2014-11-17,14002140,Full Review,Solar Array,ROOF MOUNTED SOLAR ARRAY. 21 MODULES WITH 1 INVERTER. 5.46 KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"15394 JULIA RANCH RD, GRASS VALLEY CA 95945",CLOSED
2014-11-17,14002141,Full Review,Solar Array,ROOF MOUNT SOLAR ARRAY. 30 MODULES WITH 1 INVERTER. 7.8 KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"11723 CONESTOGA DR, GRASS VALLEY CA 95949",CLOSED
2014-11-12,14002109,Full Review,Solar Array,"NEW 7.4kW ROOF MOUNT SOLAR PV SYSTEM ON HOME, 29 MODULES 260, 1 INVERTER 6000W. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.","10545 HOMEWARD LN, GRASS VALLEY CA 95949",CLOSED
2014-11-10,14002107,Full Review,Solar Array,"NEW 5.232kW ROOF MOUNT SOLAR PV SYSTEM ON HOME, 16 SUNPOWER 327W MODULES, 1 SMA INVERTER 5000W. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.","23578 SAINT ANDREWS CT, AUBURN CA 95602",CLOSED
2014-11-07,14002094,Full Review,Solar Array,ROOF MOUNTED SOLAR ARRAY. 30 MODULES WITH 1 INVERTER. 7.8KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"10033 PARK VIEW LN, PENN VALLEY CA 95946",CLOSED
2014-11-06,14002088,Full Review,Solar Array,"NEW 7.2kW ROOF MOUNT SOLAR PV SYSTEM ON HOME, 29 MODULES 250W, 29 ENPHASE M215-60 MICRO-INVERTERS. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.","18827 CHAPARRAL DR, PENN VALLEY CA 95946",CLOSED
2014-11-06,14002089,Full Review,Solar Array,"NEW 2.52kW  ROOF MOUNT SOLAR PV SYSTEM ON HOME, 8 SOLARWORLD 315W, 1 SOLAREDGE 3800W INVERTER, 16 OPTIMIZERS. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.","15252 LORIE DR, GRASS VALLEY CA 95949",CLOSED
2014-11-05,14002077,Full Review,Solar Array,"NEW 5.6kW ROOF MOUNT SOLAR PV SYSTEM ON HOME, 21 MODULES 260W, 21 MICRO-INVERTER 250W. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.","11487 MANZANITA CT, AUBURN CA 95602",CLOSED
2014-11-05,14002079,Full Review,Solar Array,INSTALL ROOF MOUNT SOLAR PANELS (20) 260 WATT MODULES WITH (1) 3600 WATT INVERTER FOR EXISTING RESIDENCE. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"19874 CASA LOMA DR, GRASS VALLEY CA 95945",CLOSED
2014-11-04,14002060,Full Review,Solar Array,"NEW 2.75kW ROOF MOUNT SOLAR PV SYSTEM, 11 SOLAR WORLD MODULES 275W, 9 SW MODULES 275W, 20 M250 MICRO-INVERTERS. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.","13626 FOREST PARK CIR, PENN VALLEY CA 95946",CLOSED
2014-11-04,14002062,Full Review,Solar Array,INSTALL NEW ROOF MOUNTED SOLAR PANELS (30) 275 WATT MODULES AND (1) 7600 WATT INVERTER FOR EXISTING RESIDENCE. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"12730 LOWHILLS RD, NEVADA CITY CA 95959",CLOSED
2014-11-04,14002063,Full Review,Solar Array,INSTALL NEW ROOF MOUNTED SOLAR PANELS ON EXISTING RESIDENCE AND ATTACHED GARAGE (29)275 WATT SOLAR MODULES WITH (1) 7600 WATT INVERTER PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"10716 ARIANNA CT, GRASS VALLEY CA 95949",CLOSED
2014-11-03,14002058,Full Review,Solar Array,ROFF MOUNT SOLAR ARRAY. 40 MODULES WITH 2 INVERTERS. 13.08 KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"14749 NICOLLE DR, NEVADA CITY CA 95959",CLOSED
2014-10-30,14002036,Full Review,Solar Array,GROUND MOUNT SOLAR ARRAY. 24 MODULES WITH 1 INVERTER. 7.56 KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"18922 COVEY CT, GRASS VALLEY CA 95949",CLOSED
2014-10-30,14002039,Full Review,Solar Array,"10/6/15 VOIDED BY CONTRACTOR. SM NEW 6.8kW ROOF MOUNT SOLAR PV SYSTEM ON HOME, 27 MODULES 255W, 1 INVERTER 6000W. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.","12137 LAKE WILDWOOD DR, PENN VALLEY CA 95946",VOID
2014-10-30,14002040,Full Review,Solar Array,INSTALL NEW ROOF MOUNTED SOLAR ARRAY (33) 255 WATT SOLAR PANESL (1) 7500 WATT INVERTER FOR EXISTING RESIDENCE PERMIT IS GOOD FOR TWO INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"22090 KNOLLS DR, GRASS VALLEY CA",Void
2014-10-29,14002025,Full Review,Solar Array,VOID TEST PERMIT. TEST 111111111111111111111111111111111111111111111 11111111111111111111111111111111111111111111111111,"12740 LOMA RICA DR, GRASS VALLEY CA",VOID
2014-10-29,14002026,Full Review,Solar Array,"NEW ROOF MOUNT SOLAR PV SYSTEM ON HOME, 14 MODULES 327W, 1 INVERTER 6000W. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.","11760 WARBLER WAY, PENN VALLEY CA 95946",CLOSED
2014-10-29,14002029,Full Review,Solar Array,GROUND MOUNT SOLAR ARRAY. 2 ARRAYS WITH 12 MODULES EACH.TOTAL OF 2 INVERTERS. 7KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"14203 BEITLER RD, NEVADA CITY CA 95959",CLOSED
2014-10-28,14002013,Full Review,Solar Array,EXPAND EXISTING 1.65kw TO 5.5kW BY ADDING 10 MODULES 275W. CHANGEOUT INVERTER TO SMA SB-5000TL INVERTER. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"13876 SUN FOREST DR, PENN VALLEY CA 95946",CLOSED
2014-10-28,14002014,Full Review,Solar Array,"NEW ROOF MOUNT SOALR PV SYSTEM ON HOME, 16 SOLARWORLD MODULES 275W, 1 SOLAREDGE 5000W INVERTER. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.","11705 MATHIS WAY, GRASS VALLEY CA 95949",CLOSED
2014-10-28,14002016,Full Review,Solar Array,"NEW 10.8kW GROUND MOUNT SOLAR PV SYSTEM AT REAR OF HOME. 40 MODULES 270W, 40 OPTIMIZERS, 1 SOLAREDGE INVERTER 10,000W. PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.","13608 PEGASUS PL, NEVADA CITY CA 95959",CLOSED
2014-10-28,14002017,Full Review,Solar Array,ROOF MOUNTED SOLAR ARRAY. 21 MODULES WITH MICRO INVERTERS. 5.775KW PERMIT IS GOOD FOR TWO  INSPECTIONS.  ADDITIONAL INSPECTIONS ARE $140.36 EACH.  FINAL INSPECTION REQUIRED.,"17151 ROUND VALLEY CIR, GRASS VALLEY CA 95949",CLOSED
